id	gender	age	adv	category	frequency	word_length	surprisal	adv_RT	sentence	sentence_RT
010	M	27	sedulously	rare	1.2	10	31.638813018798828	1.5640037059783936	9	5.703031301498413
010	M	27	passionately	common	3.33	12	17.545166015625	2.029729127883911	2	6.399108409881592
011	F	24	happily	common	4.11	7	16.239721298217773	1.2926445007324219	0	6.117239952087402
011	F	24	ferociously	rare	2.46	11	59.79363441467285	2.0284924507141113	3	4.958448886871338
011	F	24	audaciously	rare	1.87	11	34.2632417678833	2.0003604888916016	11	12.378608226776123
011	F	24	languidly	rare	2.04	9	46.11696910858154	1.8781654834747314	5	8.416505336761475
011	F	24	emotionally	common	4.04	11	14.575103759765625	2.358181953430176	8	12.96713638305664
011	F	24	angrily	common	3.34	7	15.555511474609375	1.6883668899536133	4	6.747259140014648
011	F	24	dexterously	rare	1.43	11	33.66762161254883	1.6073276996612549	1	14.199962615966797
011	F	24	insidiously	rare	2.09	11	58.4285945892334	1.926887035369873	7	10.178892612457275
011	F	24	desperately	common	3.98	11	13.908486366271973	1.4988429546356201	6	12.749770879745483
011	F	24	passionately	common	3.33	12	17.545166015625	1.994809865951538	2	11.383377075195312
011	F	24	normally	common	4.57	8	15.229681015014648	1.6236793994903564	10	4.0810387134552
011	F	24	sedulously	rare	1.2	10	31.638813018798828	1.060366153717041	9	7.889079570770264
012	M	25	dexterously	rare	1.43	11	33.66762161254883	2.3852570056915283	1	9.590465068817139
012	M	25	normally	common	4.57	8	15.229681015014648	1.0008759498596191	10	5.935083866119385
012	M	25	angrily	common	3.34	7	15.555511474609375	0.7978448867797852	4	6.413990020751953
012	M	25	ferociously	rare	2.46	11	59.79363441467285	1.2457001209259033	3	3.4986791610717773
012	M	25	passionately	common	3.33	12	17.545166015625	0.6881370544433594	2	7.175246000289917
012	M	25	happily	common	4.11	7	16.239721298217773	1.386789083480835	0	4.91811203956604
012	M	25	languidly	rare	2.04	9	46.11696910858154	1.5344130992889404	5	6.145128965377808
012	M	25	insidiously	rare	2.09	11	58.4285945892334	0.6173372268676758	7	5.602082014083862
012	M	25	audaciously	rare	1.87	11	34.2632417678833	1.0153300762176514	11	6.1207520961761475
012	M	25	sedulously	rare	1.2	10	31.638813018798828	0.6558279991149902	9	5.755456924438477
012	M	25	desperately	common	3.98	11	13.908486366271973	0.5816118717193604	6	3.3678677082061768
012	M	25	emotionally	common	4.04	11	14.575103759765625	1.1389720439910889	8	6.007727146148682
014	F	24	affably	rare	1.68	7	33.415852546691895	1.200563907623291	4	5.825653791427612
014	F	24	mundanely	rare	1.19	9	31.853524208068848	1.332364797592163	10	4.264026165008545
014	F	24	unexpectedly	common	3.71	12	15.709169387817383	0.5138752460479736	3	2.5203938484191895
014	F	24	successfully	common	4.45	12	15.366941452026367	0.6643600463867188	1	6.652354955673218
014	F	24	belligerently	rare	1.9	13	55.433589935302734	2.0849721431732178	2	6.991727113723755
014	F	24	carefully	common	4.46	9	14.272598266601562	0.5833740234375	9	3.3017330169677734
014	F	24	petulantly	rare	1.7	10	61.445457458496094	0.43927502632141113	8	3.874502182006836
014	F	24	amiably	rare	2.02	7	34.04397487640381	0.871323823928833	0	2.5285820960998535
014	F	24	nervously	common	3.27	9	15.868431091308594	0.7311232089996338	5	3.601693868637085
014	F	24	constantly	common	4.53	10	15.275320053100586	0.43718981742858887	7	3.4749958515167236
014	F	24	tenaciously	rare	2.19	11	31.364498138427734	0.4676840305328369	6	2.558972120285034
014	F	24	confidently	common	3.41	11	16.01131820678711	1.8417563438415527	11	5.53259801864624
